NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Cooper Kupp",99,"LAR","9","98","75","10.9","812","5","10.8","6","75","2","1"
"Davante Adams",98,"OAK","9","99","57","11","784","5","13.8","8","58","1",0
"Stefon Diggs",97,"BUF","9","98","72","10.9","985","6","13.7","7","53","1",0
"DeAndre Hopkins",97,"ARI","4","46","36","11.5","396","2","11","2","33","1",0
"Tyreek Hill",96,"MIA","10","106","81","10.6","1,148","5","14.2","4","64","1",0
"Justin Jefferson",94,"MIN","9","100","69","11.1","1,060","6","15.4","4","64",0,0
"A.J. Brown",93,"PHI","8","70","43","8.8","718","2","16.7","6","54",0,0
"Amari Cooper",92,"CLE","9","69","42","7.7","585","3","13.9","5","55",0,0
"Terry McLaurin",92,"WAS","9","62","38","6.9","609","2","16","2","49","1",0
"Keenan Allen",91,"LAC","2","6","6","3","77",0,"12.8",0,"42",0,0
"Tyler Lockett",90,"SEA","10","71","54","7.1","640","2","11.9","5","40","2","2"
"Michael Thomas",90,"NO","3","22","16","7.3","171",0,"10.7","3","21",0,0
"Mike Evans",89,"TB","9","76","49","8.4","671","2","13.7","3","51",0,0
"Ja'Marr Chase",89,"CIN","7","74","47","10.6","605","3","12.9","6","60","1","1"
"DK Metcalf",89,"SEA","10","77","48","7.7","581","1","12.1","4","54","2","2"
"Deebo Samuel",88,"SF","8","61","34","7.6","411","1","12.1","2","57","1","1"
"Marquise Brown",87,"ARI","6","64","43","10.7","485","1","11.3","3","26","1",0
"Jaylen Waddle",87,"MIA","10","74","51","7.4","878","4","17.2","6","59","1","1"
"Chris Godwin",87,"TB","8","73","48","9.1","475",0,"9.9","1","44",0,0
"DJ Moore",87,"CAR","10","77","39","7.7","478","1","12.3","3","62",0,0
"Cole Beasley",86,"TB","2","5","4","2.5","17",0,"4.2",0,"5",0,0
"Mike Williams",86,"LAC","7","59","37","8.4","495","3","13.4","3","50",0,0
"Adam Thielen",86,"MIN","9","64","43","7.1","467",0,"10.9","2","36",0,0
"Diontae Johnson",86,"PIT","9","81","47","9","435",0,"9.3",0,"36","1",0
"DeVonta Smith",85,"PHI","8","53","40","6.6","442","1","11.1","2","45",0,0
"Brandin Cooks",85,"HOU","8","60","36","7.5","391",0,"10.9","1","44",0,0
"CeeDee Lamb",84,"DAL","9","88","53","9.8","706","1","13.3","5","35",0,0
"Tee Higgins",84,"CIN","9","59","41","6.6","564","1","13.8","3","59",0,0
"Michael Pittman Jr.",84,"IND","9","85","61","9.4","603","2","9.9","1","28","2","1"
"Gabe Davis",83,"BUF","8","47","24","5.9","544","1","22.7","5","98",0,0
"Amon-Ra St. Brown",83,"DET","8","70","49","8.8","518","2","10.6","3","49",0,0
"Curtis Samuel",83,"WAS","9","66","45","7.3","455",0,"10.1","3","49","1","1"
"Hunter Renfrow",83,"OAK","6","29","21","4.8","192",0,"9.1",0,"27","3","1"
"Courtland Sutton",83,"DEN","9","73","41","8.1","533","1","13","1","51",0,0
"Sterling Shepard",82,"NYG","3","24","13","8","154",0,"11.8","1","65",0,0
"Jerry Jeudy",82,"DEN","9","55","30","6.1","449","1","15","3","67",0,0
